                            LIKVIDITETSBUDSJETT

Dato            Tekst                    !   Inn    !    Ut    !  Saldo   !
-----------------------------------------!----------!----------!----------!
 2/10 1995 Saldo                         ! 56500.00 !          ! 56500.00 !
 5/10      Dagligvarer                   !          !  1200.00 ! 55300.00 !
 5/10      Fris›r,Torill                 !          !   250.00 ! 55050.00 !
11/10      Restskatt,Kjell               !          ! 16398.00 ! 38652.00 !
11/10      Restskatt,Torill              !          ! 11578.00 ! 27074.00 !
12/10      Dagligvarer                   !          !  1200.00 ! 25874.00 !
12/10      L›nn,Kjell                    ! 13701.00 !          ! 39575.00 !
15/10      Foto                          !          !   150.00 ! 39425.00 !
15/10      Klede,Maria                   !          !  1000.00 ! 38425.00 !
15/10      Klede,Martin                  !          !  1000.00 ! 37425.00 !
16/10      Bensin                        !          !   500.00 ! 36925.00 !
19/10      Dagligvarer                   !          !  1200.00 ! 35725.00 !
20/10      L›nn,Torill                   !  9921.50 !          ! 45646.50 !
21/10      Fagfor.kont.NIF               !          !   241.20 ! 45405.30 !
26/10      Dagligvarer                   !          !  1200.00 ! 44205.30 !
30/10      Bensin                        !          !   500.00 ! 43705.30 !
 1/11      Barnehage                     !          !  2000.00 ! 41705.30 !
 1/11      Fritidskule                   !          !  1000.00 ! 40705.30 !
 1/11      Husleige                      !          !  2000.00 ! 38705.30 !
 2/11      Dagligvarer                   !          !  1200.00 ! 37505.30 !
 9/11      Dagligvarer                   !          !  1200.00 ! 36305.30 !
12/11      L›nn,Kjell                    ! 13701.00 !          ! 50006.30 !
13/11      Bensin                        !          !   500.00 ! 49506.30 !
16/11      Dagligvarer                   !          !  1200.00 ! 48306.30 !
20/11      L›nn,Torill                   !  9921.50 !          ! 58227.80 !
20/11      Straum                        !          !  3000.00 ! 55227.80 !
20/11      Telefon                       !          !   600.00 ! 54627.80 !
21/11      Fagfor.kont.NIF               !          !   241.20 ! 54386.60 !
23/11      Dagligvarer                   !          !  1200.00 ! 53186.60 !
25/11      Fris›r,Kjell                  !          !   200.00 ! 52986.60 !
25/11      Livsforsikring,Torill         !          !   330.00 ! 52656.60 !
27/11      Bensin                        !          !   500.00 ! 52156.60 !
30/11      Dagligvarer                   !          !  1200.00 ! 50956.60 !
 1/12      Barnehage                     !          !  2000.00 ! 48956.60 !
 1/12      Fritidskule                   !          !  1000.00 ! 47956.60 !
 1/12      Husleige                      !          !  2000.00 ! 45956.60 !
 5/12      Fris›r,Torill                 !          !   250.00 ! 45706.60 !
 7/12      Dagligvarer                   !          !  1200.00 ! 44506.60 !
11/12      Bensin                        !          !   500.00 ! 44006.60 !
12/12      L›nn,Kjell                    ! 17657.00 !          ! 61663.60 !
12/12      L›nn,Torill                   ! 12100.00 !          ! 73763.60 !
13/12      Restskatt,Kjell               !          ! 16398.00 ! 57365.60 !
13/12      Restskatt,Torill              !          ! 11578.00 ! 45787.60 !
